Begin Rejuvenation count: 1
Original number of rows in prices dataframe: 233
    AvailabilityZone      InstanceType  MaximumNetworkInterfaces  SpotPrice  PricePerInterface                 Timestamp
488       us-east-1a       m5a.2xlarge                         4     0.1628           0.044450 2024-07-03 18:32:13+00:00
188       us-east-1b        z1d.xlarge                         4     0.1653           0.045075 2024-07-03 19:02:34+00:00
18        us-east-1c        r7a.xlarge                         4     0.1672           0.045550 2024-07-03 19:17:44+00:00
846       us-east-1a      c7gd.2xlarge                         4     0.1678           0.045700 2024-07-03 17:47:45+00:00
511       us-east-1d       r7iz.xlarge                         4     0.1683           0.045825 2024-07-03 18:32:01+00:00
634       us-east-1f        c4.2xlarge                         4     0.1696           0.046150 2024-07-03 18:17:12+00:00
131       us-east-1d       m6i.2xlarge                         4     0.1697           0.046175 2024-07-03 19:16:52+00:00
811       us-east-1b        r5d.xlarge                         4     0.1703           0.046325 2024-07-03 18:02:00+00:00
805       us-east-1b         i3.xlarge                         4     0.1703           0.046325 2024-07-03 18:02:02+00:00
668       us-east-1f  m7i-flex.2xlarge                         4     0.1704           0.046350 2024-07-03 18:17:00+00:00
42        us-east-1b        r5b.xlarge                         4     0.1714           0.046600 2024-07-03 19:17:28+00:00
147       us-east-1e        m4.2xlarge                         4     0.1720           0.046750 2024-07-03 19:16:43+00:00
282       us-east-1c       m6i.2xlarge                         4     0.1734           0.047100 2024-07-03 19:01:49+00:00
407       us-east-1d      r6idn.xlarge                         4     0.1752           0.047550 2024-07-03 18:33:05+00:00
398       us-east-1b       m6a.2xlarge                         4     0.1758           0.047700 2024-07-03 18:46:55+00:00
486       us-east-1f      c6id.2xlarge                         4     0.1763           0.047825 2024-07-03 18:32:13+00:00
148       us-east-1d        c4.2xlarge                         4     0.1771           0.048025 2024-07-03 19:16:43+00:00
213       us-east-1b        a1.4xlarge                         8     0.1779           0.026613 2024-07-03 19:02:21+00:00
849       us-east-1d        g5g.xlarge                         4     0.1781           0.048275 2024-07-03 17:47:44+00:00
48        us-east-1d      c7gd.2xlarge                         4     0.1790           0.048500 2024-07-03 19:17:26+00:00
665       us-east-1a        m5.2xlarge                         4     0.1793           0.048575 2024-07-03 18:17:00+00:00
337       us-east-1f      m7gd.2xlarge                         4     0.1800           0.048750 2024-07-03 18:47:26+00:00
752       us-east-1a       r6g.2xlarge                         4     0.1835           0.049625 2024-07-03 18:02:30+00:00
791       us-east-1d        m4.2xlarge                         4     0.1837           0.049675 2024-07-03 18:02:12+00:00
201       us-east-1f       m7i.2xlarge                         4     0.1864           0.050350 2024-07-03 19:02:28+00:00
577       us-east-1d       r7g.2xlarge                         4     0.1876           0.050650 2024-07-03 18:17:33+00:00
331       us-east-1c        i4i.xlarge                         4     0.1878           0.050700 2024-07-03 18:47:29+00:00
307       us-east-1b      c6id.2xlarge                         4     0.1890           0.051000 2024-07-03 18:47:44+00:00
563       us-east-1a        m2.2xlarge                         4     0.1958           0.052700 2024-07-03 18:17:44+00:00
221       us-east-1c      c6id.2xlarge                         4     0.1983           0.053325 2024-07-03 19:02:17+00:00
947       us-east-1d      c5ad.2xlarge                         4     0.2001           0.053775 2024-07-03 17:47:00+00:00
990       us-east-1b      m7gd.2xlarge                         4     0.2046           0.054900 2024-07-03 17:32:42+00:00
660       us-east-1a       g4dn.xlarge                         3     0.2053           0.071767 2024-07-03 18:17:02+00:00
446       us-east-1f       r7g.2xlarge                         4     0.2055           0.055125 2024-07-03 18:32:34+00:00
689       us-east-1b      m6gd.2xlarge                         4     0.2066           0.055400 2024-07-03 18:16:49+00:00
255       us-east-1c      c5ad.2xlarge                         4     0.2076           0.055650 2024-07-03 19:02:03+00:00
497       us-east-1d  m7i-flex.2xlarge                         4     0.2094           0.056100 2024-07-03 18:32:07+00:00
279       us-east-1a      r6gd.2xlarge                         4     0.2115           0.056625 2024-07-03 19:01:50+00:00
264       us-east-1b       g4dn.xlarge                         3     0.2134           0.074467 2024-07-03 19:02:01+00:00
669       us-east-1c  m7i-flex.2xlarge                         4     0.2152           0.057550 2024-07-03 18:17:00+00:00
682       us-east-1a       c5d.2xlarge                         4     0.2201           0.058775 2024-07-03 18:16:55+00:00
868       us-east-1c     is4gen.xlarge                         4     0.2215           0.059125 2024-07-03 17:47:32+00:00
632       us-east-1c        m4.2xlarge                         4     0.2239           0.059725 2024-07-03 18:17:12+00:00
434       us-east-1c       d3en.xlarge                         4     0.2325           0.061875 2024-07-03 18:32:39+00:00
487       us-east-1a       m7a.2xlarge                         4     0.2353           0.062575 2024-07-03 18:32:13+00:00
474       us-east-1b       c5n.2xlarge                         4     0.2386           0.063400 2024-07-03 18:32:20+00:00
785       us-east-1b       c7g.4xlarge                         8     0.2438           0.034850 2024-07-03 18:02:14+00:00
468       us-east-1d      r6gd.2xlarge                         4     0.2497           0.066175 2024-07-03 18:32:25+00:00
402       us-east-1b       i4g.2xlarge                         4     0.2517           0.066675 2024-07-03 18:46:48+00:00
596       us-east-1d       m5n.2xlarge                         4     0.2632           0.069550 2024-07-03 18:17:25+00:00
315       us-east-1f      m6id.2xlarge                         4     0.2676           0.070650 2024-07-03 18:47:37+00:00
508       us-east-1b       g5g.2xlarge                         4     0.2713           0.071575 2024-07-03 18:32:03+00:00
339       us-east-1b       r7i.2xlarge                         4     0.2757           0.072675 2024-07-03 18:47:25+00:00
715       us-east-1b        r3.2xlarge                         4     0.2783           0.073325 2024-07-03 18:02:54+00:00
598       us-east-1c       g5g.2xlarge                         4     0.2809           0.073975 2024-07-03 18:17:22+00:00
703       us-east-1e        m3.2xlarge                         4     0.2819           0.074225 2024-07-03 18:03:00+00:00
303       us-east-1a      r5ad.2xlarge                         4     0.2868           0.075450 2024-07-03 18:47:46+00:00
762       us-east-1c      m5dn.2xlarge                         4     0.2927           0.076925 2024-07-03 18:02:26+00:00
631       us-east-1d       c6i.4xlarge                         8     0.2929           0.040987 2024-07-03 18:17:12+00:00
516       us-east-1f       m6g.4xlarge                         8     0.2933           0.041038 2024-07-03 18:31:59+00:00
700       us-east-1a      c7gd.4xlarge                         8     0.2936           0.041075 2024-07-03 18:03:02+00:00
499       us-east-1f       r5a.2xlarge                         4     0.2949           0.077475 2024-07-03 18:32:06+00:00
630       us-east-1f       c6i.4xlarge                         8     0.2970           0.041500 2024-07-03 18:17:12+00:00
910       us-east-1c      g4dn.2xlarge                         3     0.2973           0.102433 2024-07-03 17:47:13+00:00
964       us-east-1f       c5a.4xlarge                         8     0.2984           0.041675 2024-07-03 17:46:51+00:00
Iteration 1: Number of rows in prices dataframe: 231
    AvailabilityZone      InstanceType  MaximumNetworkInterfaces  SpotPrice  PricePerInterface                 Timestamp
2         us-east-1b         r5a.large                         3     0.0502           0.020067 2024-07-03 18:32:12+00:00
3         us-east-1a         c5n.large                         3     0.0505           0.020167 2024-07-03 18:17:01+00:00
4         us-east-1b         r6a.large                         3     0.0507           0.020233 2024-07-03 18:32:32+00:00
5         us-east-1b         a1.xlarge                         4     0.0518           0.016700 2024-07-03 18:17:36+00:00
6         us-east-1b         c1.medium                         2     0.0524           0.028700 2024-07-03 18:18:00+00:00
7         us-east-1d        r6gd.large                         3     0.0526           0.020867 2024-07-03 19:02:31+00:00
8         us-east-1b         r6i.large                         3     0.0536           0.021200 2024-07-03 18:31:55+00:00
9         us-east-1b        m6in.large                         3     0.0539           0.021300 2024-07-03 19:17:17+00:00
10        us-east-1b         m5n.large                         3     0.0547           0.021567 2024-07-03 18:16:59+00:00
11        us-east-1f        m5dn.large                         3     0.0560           0.022000 2024-07-03 19:17:43+00:00
12        us-east-1c        c6g.xlarge                         4     0.0561           0.017775 2024-07-03 19:02:01+00:00
13        us-east-1c         r7i.large                         3     0.0571           0.022367 2024-07-03 19:02:13+00:00
14        us-east-1a         m5d.large                         3     0.0572           0.022400 2024-07-03 19:16:47+00:00
15        us-east-1a         i4g.large                         3     0.0578           0.022600 2024-07-03 18:17:19+00:00
16        us-east-1a        r7gd.large                         3     0.0582           0.022733 2024-07-03 18:17:15+00:00
17        us-east-1c        r7gd.large                         3     0.0588           0.022933 2024-07-03 18:31:57+00:00
18        us-east-1c         r6i.large                         3     0.0590           0.023000 2024-07-03 18:46:55+00:00
19        us-east-1d          r5.large                         3     0.0593           0.023100 2024-07-03 17:47:13+00:00
20        us-east-1c          r4.large                         3     0.0596           0.023200 2024-07-03 19:17:17+00:00
21        us-east-1f         i4g.large                         3     0.0596           0.023200 2024-07-03 18:47:19+00:00
22        us-east-1e          r4.large                         3     0.0611           0.023700 2024-07-03 18:32:16+00:00
23        us-east-1a          i3.large                         3     0.0618           0.023933 2024-07-03 18:47:45+00:00
24        us-east-1d        t3a.xlarge                         4     0.0623           0.019325 2024-07-03 19:02:18+00:00
25        us-east-1c         r7a.large                         3     0.0627           0.024233 2024-07-03 18:47:33+00:00
26        us-east-1a        t3a.xlarge                         4     0.0641           0.019775 2024-07-03 18:48:11+00:00
27        us-east-1f        m7g.xlarge                         4     0.0647           0.019925 2024-07-03 18:16:59+00:00
28        us-east-1d          m1.large                         3     0.0648           0.024933 2024-07-03 19:17:04+00:00
29        us-east-1b         r5d.large                         3     0.0657           0.025233 2024-07-03 18:47:07+00:00
30        us-east-1d          i3.large                         3     0.0657           0.025233 2024-07-03 17:48:08+00:00
31        us-east-1b         r7a.large                         3     0.0659           0.025300 2024-07-03 19:16:47+00:00
32        us-east-1b         r5b.large                         3     0.0662           0.025400 2024-07-03 18:02:36+00:00
33        us-east-1a          r3.large                         3     0.0663           0.025433 2024-07-03 19:02:27+00:00
34        us-east-1e          r3.large                         3     0.0665           0.025500 2024-07-03 18:03:00+00:00
35        us-east-1b        r6in.large                         3     0.0666           0.025533 2024-07-03 19:17:51+00:00
36        us-east-1f        c5a.xlarge                         4     0.0671           0.020525 2024-07-03 19:17:01+00:00
37        us-east-1d         z1d.large                         3     0.0680           0.026000 2024-07-03 18:47:39+00:00
38        us-east-1c        t3a.xlarge                         4     0.0684           0.020850 2024-07-03 18:32:20+00:00
39        us-east-1c         r5b.large                         3     0.0684           0.026133 2024-07-03 19:17:45+00:00
40        us-east-1a       im4gn.large                         3     0.0684           0.026133 2024-07-03 17:47:00+00:00
41        us-east-1f        m6g.xlarge                         4     0.0687           0.020925 2024-07-03 19:17:03+00:00
42        us-east-1c          m1.large                         3     0.0691           0.026367 2024-07-03 17:33:18+00:00
43        us-east-1c        r5dn.large                         3     0.0695           0.026500 2024-07-03 18:02:54+00:00
44        us-east-1a        m5zn.large                         3     0.0711           0.027033 2024-07-03 18:47:37+00:00
45        us-east-1b          m1.large                         3     0.0716           0.027200 2024-07-03 18:02:45+00:00
46        us-east-1f        r7iz.large                         3     0.0717           0.027233 2024-07-03 19:17:58+00:00
47        us-east-1d         i4i.large                         3     0.0717           0.027233 2024-07-03 18:02:23+00:00
48        us-east-1b       im4gn.large                         3     0.0722           0.027400 2024-07-03 19:03:00+00:00
49        us-east-1d        r7iz.large                         3     0.0723           0.027433 2024-07-03 18:47:58+00:00
50        us-east-1c       r6idn.large                         3     0.0744           0.028133 2024-07-03 18:03:04+00:00
51        us-east-1a        m6a.xlarge                         4     0.0744           0.022350 2024-07-03 19:02:22+00:00
52        us-east-1c       m6idn.large                         3     0.0745           0.028167 2024-07-03 19:02:07+00:00
